age,workclass,education,marital-status,occupation,relationship,race,hours-per-week,native-country,income,male,female
28.0,4.0,17.0,5.0,3940.0,6.0,16.0,1.0,1.0,0,30.0,30.0
57.0,1.0,15.0,1.0,4220.0,6.0,1.0,1.0,1.0,0,40.0,40.0
57.0,1.0,20.0,1.0,350.0,6.0,0.0,2.0,1.0,0,30.0,30.0
19.0,1.0,18.0,5.0,4150.0,6.0,2.0,2.0,1.0,0,20.0,20.0
38.0,1.0,16.0,1.0,4760.0,233.0,10.0,2.0,9.0,0,25.0,25.0
43.0,1.0,16.0,3.0,9645.0,6.0,6.0,1.0,1.0,0,40.0,40.0
47.0,1.0,23.0,1.0,3090.0,12.0,1.0,2.0,1.0,1,24.0,24.0
26.0,1.0,19.0,5.0,4522.0,42.0,13.0,2.0,1.0,0,35.0,35.0
39.0,3.0,21.0,1.0,2310.0,48.0,1.0,2.0,1.0,0,10.0,10.0
36.0,1.0,19.0,4.0,800.0,6.0,0.0,2.0,8.0,0,40.0,40.0
86.0,7.0,23.0,1.0,3090.0,233.0,0.0,1.0,6.0,1,42.0,42.0
23.0,1.0,20.0,5.0,4760.0,6.0,2.0,1.0,1.0,0,18.0,18.0
33.0,1.0,19.0,5.0,3930.0,6.0,2.0,1.0,1.0,0,30.0,30.0
43.0,1.0,21.0,1.0,2830.0,41.0,0.0,1.0,1.0,1,45.0,45.0
52.0,1.0,18.0,1.0,7750.0,303.0,0.0,1.0,1.0,1,56.0,56.0
23.0,1.0,19.0,5.0,7200.0,6.0,2.0,2.0,1.0,0,40.0,40.0
51.0,1.0,16.0,1.0,5810.0,6.0,0.0,1.0,2.0,1,45.0,45.0
19.0,1.0,18.0,5.0,9620.0,6.0,17.0,1.0,1.0,0,16.0,16.0
51.0,1.0,23.0,5.0,6355.0,39.0,12.0,1.0,1.0,1,40.0,40.0
33.0,5.0,22.0,1.0,1530.0,34.0,1.0,1.0,1.0,1,40.0,40.0
46.0,1.0,20.0,1.0,440.0,301.0,0.0,1.0,1.0,1,48.0,48.0
45.0,1.0,16.0,5.0,4230.0,160.0,0.0,2.0,1.0,0,40.0,40.0
58.0,1.0,16.0,3.0,4110.0,207.0,6.0,2.0,6.0,0,20.0,20.0
46.0,2.0,22.0,5.0,2205.0,233.0,0.0,2.0,6.0,1,50.0,50.0
23.0,1.0,16.0,5.0,5522.0,6.0,2.0,1.0,1.0,0,50.0,50.0
55.0,7.0,21.0,1.0,10.0,224.0,1.0,1.0,1.0,1,80.0,80.0
68.0,6.0,19.0,1.0,220.0,44.0,0.0,1.0,1.0,1,20.0,20.0
24.0,1.0,21.0,5.0,440.0,6.0,2.0,2.0,1.0,0,40.0,40.0
46.0,1.0,16.0,3.0,5860.0,6.0,10.0,1.0,1.0,0,30.0,30.0
55.0,1.0,16.0,1.0,4920.0,6.0,1.0,2.0,8.0,0,25.0,25.0
32.0,1.0,20.0,5.0,310.0,233.0,0.0,1.0,6.0,1,60.0,60.0
37.0,4.0,21.0,1.0,2555.0,212.0,1.0,2.0,9.0,1,60.0,60.0
39.0,1.0,15.0,5.0,7800.0,6.0,0.0,2.0,8.0,0,40.0,40.0
37.0,1.0,16.0,5.0,9122.0,303.0,15.0,1.0,8.0,0,40.0,40.0
63.0,1.0,18.0,1.0,9130.0,48.0,0.0,1.0,1.0,0,32.0,32.0
47.0,1.0,22.0,1.0,110.0,17.0,0.0,1.0,1.0,1,45.0,45.0
31.0,1.0,20.0,5.0,9645.0,6.0,2.0,1.0,1.0,0,40.0,40.0
24.0,7.0,16.0,5.0,4600.0,370.0,2.0,2.0,8.0,0,30.0,30.0
26.0,1.0,23.0,1.0,2145.0,6.0,0.0,2.0,1.0,1,50.0,50.0
27.0,1.0,21.0,5.0,8640.0,4.0,0.0,2.0,1.0,0,40.0,40.0
63.0,4.0,20.0,1.0,3324.0,303.0,0.0,1.0,8.0,1,40.0,40.0
18.0,1.0,16.0,5.0,8740.0,6.0,2.0,1.0,1.0,0,30.0,30.0
54.0,1.0,20.0,3.0,2145.0,6.0,0.0,2.0,1.0,1,40.0,40.0
73.0,1.0,21.0,1.0,5860.0,6.0,0.0,1.0,1.0,0,30.0,30.0
67.0,1.0,21.0,1.0,440.0,6.0,0.0,1.0,1.0,1,43.0,43.0
74.0,2.0,22.0,1.0,2014.0,11.0,0.0,1.0,1.0,1,40.0,40.0
21.0,1.0,20.0,5.0,4110.0,6.0,2.0,1.0,6.0,0,16.0,16.0
65.0,6.0,21.0,1.0,4920.0,53.0,1.0,1.0,1.0,0,30.0,30.0
60.0,1.0,16.0,3.0,2360.0,23.0,0.0,2.0,1.0,1,40.0,40.0
57.0,6.0,10.0,1.0,6230.0,207.0,1.0,1.0,6.0,1,40.0,40.0
22.0,1.0,19.0,5.0,4760.0,36.0,0.0,1.0,1.0,0,60.0,60.0
55.0,1.0,18.0,1.0,2145.0,6.0,0.0,2.0,1.0,0,12.0,12.0
38.0,3.0,21.0,5.0,800.0,6.0,0.0,1.0,1.0,1,40.0,40.0
54.0,1.0,16.0,3.0,4760.0,247.0,0.0,2.0,6.0,0,32.0,32.0
32.0,1.0,23.0,5.0,6260.0,313.0,16.0,1.0,8.0,0,40.0,40.0
24.0,2.0,21.0,1.0,750.0,110.0,1.0,2.0,1.0,0,40.0,40.0
42.0,1.0,19.0,5.0,4220.0,6.0,0.0,1.0,1.0,0,40.0,40.0
34.0,4.0,22.0,1.0,2310.0,6.0,0.0,2.0,1.0,1,40.0,40.0
23.0,1.0,21.0,5.0,5120.0,247.0,3.0,2.0,6.0,0,40.0,40.0
61.0,2.0,21.0,5.0,2752.0,6.0,0.0,2.0,2.0,0,8.0,8.0
49.0,1.0,16.0,1.0,5240.0,158.0,0.0,2.0,1.0,1,40.0,40.0
