age_high,age_low,age_middle,age_very_high,age_very_low,juv_fel_count_very_low,juv_misd_count_very_low,juv_other_count_very_low,priors_count_high,priors_count_low,priors_count_middle,priors_count_very_low,sex_Male,two_year_recid,sex_Female,race_African-American,c_charge_degree_Misdemeanor,race_Caucasian,c_charge_degree_Felony
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1
0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1
0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1
